,RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,TD
1385,RK,"Stacy Boyd, RB",TCU,3,2,.7,3,0
1387,RK,"Marcus Gaines, WR",LT,1,2,2.0,2,0
1388,RK,"Kameron McKnight, WR",LT,1,2,2.0,2,0
1389,RK,"Armanti Foreman, WR",TEX,2,2,1.0,2,0
1390,RK,"Darryl Bonner, RB",NAVY,1,2,2.0,2,0
1391,RK,"Jason Connella, QB",ECU,1,2,2.0,2,0
1392,RK,"Tristan Vizcaino, PK",WASH,1,2,2.0,2,1
1393,RK,"KD Cannon, WR",BAY,1,2,2.0,2,0
1394,RK,"Markell Pack, WR",MISS,2,2,1.0,3,0
1395,RK,"Trey Dye, WR",BYU,3,2,.7,5,0
1396,RK,"Cameron Batson, WR",TTU,1,2,2.0,2,0
1398,RK,"Pereese Joas, RB",HAW,2,2,1.0,3,0
1399,RK,"Jaqwis Dancy, RB",LT,2,2,1.0,6,0
1400,RK,"Ryan Brown, RB",GASO,1,2,2.0,2,0
1401,RK,"Logan Hunt, DE",GASO,1,2,2.0,2,0
1402,RK,"Kam Myers, WR",GAST,1,2,2.0,2,0
1403,RK,"Colton Plante, FB",FSU,1,2,2.0,2,1
1404,RK,"Calvin Ridley, WR",ALA,1,2,2.0,2,0
1405,1278,"Jamal Turner, WR",NEB,3,1,.3,3,0
1406,1278,"Kyle Pohl, QB",AKR,5,1,.2,9,0
1407,1278,"David Moala, NT",USU,1,1,1.0,1,1
1409,1281,"Jarrod Lynn, FB",UNT,3,1,.3,1,0
1410,1281,"Devin Campbell, WR",BUFF,2,1,.5,4,0
1411,1281,"Brandon Smith, WR",TXST,1,1,1.0,1,0
1412,1281,"Ejiro Ederaine, LB",FRES,1,1,1.0,1,1
1413,1281,"Cody Core, WR",MISS,1,1,1.0,1,0
1414,1281,"Gaston Davis, RB",TEX,1,1,1.0,1,0
1415,1281,"Demarcus Robinson, WR",FLA,1,1,1.0,1,0
1416,1281,"Reggie Davis, WR",UGA,2,1,.5,4,0
1417,1281,"Chris Dadson, RB",SJSU,1,1,1.0,1,0
1418,1281,"Francis Owusu, WR",STAN,1,1,1.0,1,0
1420,RK,"Marcell Ateman, WR",OKST,1,1,1.0,1,0
1421,RK,"Zack Greenlee, QB",FRES,27,1,.0,17,0
1422,RK,"Ryan Timmons, WR",UK,2,1,.5,4,0
1423,RK,"Dylan Bradley, DL",USM,2,1,.5,1,0
1424,RK,"Jeremy Liggins, TE",MISS,4,1,.3,1,0
1425,RK,"Mossi Johnson, WR",UCLA,1,1,1.0,1,0
1426,RK,"Jalen Greene, WR",USC,2,1,.5,7,0
1427,RK,"Nacarius Fant, WR",WKU,1,1,1.0,1,0
1428,RK,"Jonathan Lytle, FB",GAST,1,1,1.0,1,0
1429,RK,"Wallace Gonzalez, TE",UTAH,1,1,1.0,10,0
1431,RK,"Jay Jay Wilson, LB",ASU,1,1,1.0,1,0
1432,RK,"Halen Steward, RB",UTSA,3,1,.3,1,0
1433,RK,"T.J. Rahming, WR",DUKE,1,1,1.0,1,0
1434,1304,"Trevon Pendleton, FB",MSU,1,0,.0,0,0
1435,1304,"Bobby Wolford, FB",BC,2,0,.0,1,0
1436,1304,"Alvin Cornelius, WR",SYR,1,0,.0,0,0
1437,1304,"Anthony Melchiori, PK",KENT,1,0,.0,0,0
1438,1304,"Ladarius Banks, RB",VAN,1,0,.0,0,0
1439,1304,"Jamal Lyles, TE",MSU,1,0,.0,0,0
1440,1304,"Keon Hatcher, WR",ARK,1,0,.0,0,0
1442,RK,"Josh Anderson, RB",ND,2,0,.0,1,0
1443,RK,"Dylan Collie, WR",HAW,1,0,.0,0,0
1444,RK,"Rayvean Moore, WR",NMSU,1,0,.0,0,0
1445,RK,"Darren Andrews, WR",UCLA,1,0,.0,0,0
1446,RK,"Jake Hubenak, QB",OKST,4,0,.0,5,0
1447,RK,"Logan Piper, P",HOU,1,0,.0,0,0
1448,RK,"Braxton Berrios, WR",MIA,1,0,.0,0,0
1449,RK,"Blake Mack, WR",ARST,1,0,.0,0,0
1450,RK,"Garrett Johnson, WR",UK,1,0,.0,0,0
1451,RK,"Michael Scarnecchia, QB",SC,1,0,.0,0,0
1453,1321,"Kyle Foster, P",AKR,1,0,.0,0,0
1454,1321,"Payne Sullins, QB",TTU,1,0,.0,0,0
1455,1321,"Mark Saari, RB",WIS,3,0,.0,3,0
1456,1321,"Kyle Fulks, WR",UTAH,1,0,.0,0,0
1457,1321,"Chris Qualls, P",ULM,2,0,.0,14,0
1458,1321,"Joseph Parker, WR",WYO,1,0,.0,0,0
1459,1321,"Richie Cooper, WR",AKR,1,0,.0,0,0
1460,1321,"Salanoa-Alo Wily, DL",UNLV,1,0,.0,0,0
1461,1321,"Xavian Marks, RB",ALA,1,0,.0,0,0
1462,1321,"Stephen Johnson, WR",UCLA,1,0,.0,0,0
1464,1331,"Jay Lee, WR",BAY,1,-1,-1.0,0,0
1465,1331,"Hayden Plinke, TE",UTEP,1,-1,-1.0,0,0
1466,1331,"Samuel Benjamin, WR",TEM,2,-1,-.5,2,0
1467,1331,"Matt Macksood, WR",MSU,1,-1,-1.0,0,0
1468,1331,"Hayden Rettig, QB",RUTG,7,-1,-.1,12,1
1469,1331,"Teldrick Morgan, WR",NMSU,2,-1,-.5,9,0
1470,1331,"Arthur Hart, P",CHAR,3,-1,-.3,9,0
1471,1331,"Drew Eckels, QB",WKU,2,-1,-.5,4,0
1472,1331,"K.J. Carta-Samuels, QB",WASH,9,-1,-.1,10,1
1473,1331,"Dede Westbrook, WR",OKLA,4,-1,-.3,11,0
1475,RK,"Chuck Wade, WR",WAKE,1,-1,-1.0,0,0
1476,1342,"Donovan Harden, WR",GAST,1,-2,-2.0,0,0
1477,1342,"Malcolm Lewis, WR",MIA,1,-2,-2.0,0,0
1478,1342,"Connor Brewer, QB",UVA,2,-2,-1.0,1,0
1479,1342,"Devonte Robinson, WR",USU,4,-2,-.5,4,0
1480,1342,"Josh Magee, WR",UAB,1,-2,-2.0,0,0
1481,1342,"Gehrig Dieter, WR",BGSU,1,-2,-2.0,0,0
1482,1342,"Cody Tuttle, TE",EMU,1,-2,-2.0,0,0
1483,1342,"Austin Wilson, QB",SYR,1,-2,-2.0,0,0
1484,1342,"Matt Alviti, QB",NW,3,-2,-.7,5,0
1486,RK,"Alvin Jones, LB",UTEP,1,-2,-2.0,0,0
1487,RK,"Jalen Robinette, WR",AFA,2,-2,-1.0,3,0
1488,RK,- Team,MISS,1,-2,-2.0,0,0
1489,RK,"Malik Rosier, QB",MIA,14,-2,-.1,6,0
1490,RK,"Jaylan Barbour, WR",APP,1,-2,-2.0,0,0
1491,RK,"JaJuan Lawson, QB",UNM,1,-2,-2.0,0,0
1492,RK,"Ross Comis, QB",UMASS,6,-2,-.3,8,0
1493,RK,"Tyreik Gray, RB",HOU,1,-2,-2.0,0,0
1494,RK,"Tyrain Taylor, WR",NMSU,1,-2,-2.0,0,0
1495,RK,"John Burt, WR",TEX,1,-2,-2.0,0,0
1497,1361,"Khai Anderson, RB",GAST,3,-2,-.7,7,0
1498,1362,"BJ Johnson, WR",GASO,1,-3,-3.0,0,0
1499,1362,"Erich Toth, P",IND,1,-3,-3.0,0,0
1500,1362,"Nate Iese, FB",UCLA,1,-3,-3.0,0,0
1501,1362,"Delshawn McClellon, WR",UTAH,1,-3,-3.0,4,0
1502,1362,"Aleem Sunanon, PK",USA,1,-3,-3.0,0,0
1503,1362,"Anthony Nixon, DB",MD,1,-3,-3.0,3,0
1504,1362,"Nyiakki Height, WR",UAB,1,-3,-3.0,0,0
1505,1362,"Tajae Sharpe, WR",UMASS,1,-3,-3.0,0,0
1506,1362,"Dalton Schomp, P",FAU,2,-3,-1.5,12,0
1508,RK,"De'Vonte Haggerty, WR",ULM,3,-3,-1.0,4,0
1509,RK,"Bra'Lon Cherry, WR",NCST,2,-3,-1.5,0,0
1510,RK,"Johnny Townsend, P",FLA,1,-3,-3.0,0,0
1511,RK,"Tim DiGiorgio, QB",TEM,1,-3,-3.0,0,0
1513,RK,"Roberto Hinojosa, RB",GT,1,-3,-3.0,0,0
1514,RK,"Kamrin Solomon, WR",FAU,1,-3,-3.0,0,0
1515,RK,"Ryan Longoria, WR",GASO,1,-3,-3.0,0,0
1516,RK,"Chris Barr, WR",USF,1,-3,-3.0,0,0
1517,RK,"Deondre Ford, QB",KU,5,-3,-.6,5,0
1519,1381,"KeVonn Mabon, WR",BALL,2,-4,-2.0,0,0
1520,1381,"Danny Anthrop, WR",PUR,2,-4,-2.0,0,0
1521,1381,"A.J. Hughes, P",VT,1,-4,-4.0,0,0
1522,1381,"Conner Sullivan, QB",USC,1,-4,-4.0,0,0
1523,1381,"Ryan Lamb, QB",CMU,2,-4,-2.0,2,0
1524,1381,"Frank Nutile, QB",TEM,1,-4,-4.0,0,0
1525,1381,"Michael Means Jr., WR",AKR,1,-4,-4.0,0,0
1526,1381,"Zach Charme, PK",WSU,1,-4,-4.0,0,0
1527,1381,"Donavan Hale, WR",IND,1,-4,-4.0,0,0
1528,1390,"Casey Martin, WR",USM,1,-5,-5.0,0,0
1530,RK,"Conner Floyd, WR",TLSA,1,-5,-5.0,0,0
1531,RK,"Daniel Grochowski, PK",ARMY,1,-5,-5.0,0,0
1532,RK,"Ben Grazen, WR",NCST,1,-5,-5.0,0,0
1533,RK,"Laquon Treadwell, WR",MISS,1,-5,-5.0,0,0
1534,RK,"Von Pearson, WR",TENN,3,-5,-1.7,1,0
1535,RK,"Keaton Perry, QB",KU,2,-5,-2.5,7,0
1536,RK,"Deon Cain, WR",CLEM,1,-5,-5.0,0,0
1537,1398,"Tyler Johnstone, OL",ORE,1,-6,-6.0,0,0
1538,1398,"Michael Rector, WR",STAN,1,-6,-6.0,0,0
1539,1398,"DeAndre Bell, WR",ARMY,1,-6,-6.0,0,0
1541,1401,"Michael Geiger, PK",MSU,1,-6,-6.0,0,0
1542,1401,"Isaiah Jones, WR",ECU,1,-6,-6.0,0,0
1544,1401,"Greg Campbell Jr., WR",UTSA,1,-6,-6.0,0,0
1545,1401,"Yannis Routsas, P",UTSA,1,-6,-6.0,0,0
1546,1401,"Roderick Proctor, WR",MEM,3,-6,-2.0,4,0
1547,1401,"Xavier Hawkins, WR",ORST,1,-6,-6.0,0,0
1548,1401,"Blake O'Neill, P",MICH,2,-6,-3.0,9,0
1549,1401,"Nick Porebski, P",ORST,1,-6,-6.0,0,0
1550,1410,"Danny Woodson, WR",USA,1,-7,-7.0,0,0
1552,RK,"Ryan Frain, PK",ILL,1,-7,-7.0,0,0
1553,RK,"Cole Freytag, WR",UTEP,1,-7,-7.0,0,0
1554,RK,"Austin Carr, WR",NW,1,-7,-7.0,0,0
1555,RK,"Bilal Marshall, WR",PUR,1,-7,-7.0,0,0
1556,RK,"Tim Boyle, QB",CONN,6,-7,-1.2,4,0
1557,RK,"Josh Greer, QB",UNT,3,-7,-2.3,2,0
1558,1417,"Tyler Cameron, QB",FAU,2,-8,-4.0,5,0
1559,1417,"Frederick Gammage, WR",ASU,2,-8,-4.0,0,0
1560,1417,"Marcus Davis, WR",AUB,1,-8,-8.0,0,0
1561,1417,"Blake Kemp, QB",ECU,39,-8,-.2,13,2
1563,RK,"Dante Pettis, WR",WASH,1,-8,-8.0,0,0
1564,RK,"Tyler Wiegers, QB",IOWA,1,-8,-8.0,0,0
1565,RK,"Jacob Ambrose, P",NIU,1,-8,-8.0,2,0
1566,1424,"Dijon Paschal, WR",ARST,1,-9,-9.0,0,0
1567,1424,"Taywan Taylor, WR",WKU,7,-9,-1.3,10,0
1569,1424,"De'Mornay Pierson-El, WR",NEB,3,-9,-3.0,0,0
1570,1424,"Steven Sims Jr., WR",KU,1,-9,-9.0,0,0
1571,1424,"Royce Caldwell, WR",NMSU,1,-9,-9.0,0,0
1572,1424,"Koy Detmer Jr., QB",BYU,1,-9,-9.0,0,0
1574,1431,"Devin Powell, QB",TULN,4,-10,-2.5,5,0
1575,1431,"Peter Picerelli, P",TULN,1,-10,-10.0,0,0
1576,1431,"Jonathan Parker, WR",IOWA,2,-10,-5.0,2,0
1577,1431,"- Team, ATH",TA&M,4,-10,-2.5,0,0
1578,1431,"Zachary Block, PK",TULN,1,-10,-10.0,0,0
1579,1431,"Brad Stewart, WR",GT,1,-10,-10.0,0,0
1580,1437,"Joe Gray, QB",SJSU,16,-11,-.7,10,1
1581,1438,"Trevor Davis, WR",CAL,2,-12,-6.0,0,0
1582,1438,"Mason Rudolph, QB",OKST,62,-12,-.2,40,1
1583,1438,"Anthony Torres, P",NMSU,1,-12,-12.0,0,0
1585,1441,"Daxx Garman, QB",MD,11,-13,-1.2,6,0
1586,1441,"Matthew Wyman, PK",KU,1,-13,-13.0,0,0
1587,1441,"Danny Cameron, QB",IND,1,-13,-13.0,0,0
1588,1441,"Tabari Hines, WR",WAKE,3,-13,-4.3,0,0
1589,1445,"Ryan Kay, PK",TROY,1,-14,-14.0,0,0
1596,RK,- Team,CMU,9,-15,-1.7,0,0
1598,1452,"James O'Hagan, OL",BUFF,1,-16,-16.0,0,0
1599,1454,"Bart Houston, QB",WIS,4,-17,-4.3,1,0
1600,1454,"Alex Egan, PK",BALL,1,-17,-17.0,0,0
1601,1454,"Brice Ramsey, QB",UGA,3,-17,-5.7,0,0
1603,1454,"John Johnson, WR",TROY,1,-17,-17.0,0,0
1604,1459,"Team, ?",UVA,10,-18,-1.8,0,0
1607,RK,"Peyton Bender, QB",WSU,3,-18,-6.0,0,0
1608,1462,"Ford Childress, QB",WVU,2,-19,-9.5,0,0
1609,1462,"Jordan Gehrke, QB",COLO,7,-19,-2.7,13,0
1611,1465,"Tyler Stehling, QB",RICE,9,-22,-2.4,7,0
1612,1465,"Nolan Genovese, QB",MTSU,1,-22,-22.0,0,0
1613,1467,"Andrew McNulty, QB",UNT,26,-23,-.9,18,0
1614,1467,"Nick Schuessler, QB",CLEM,6,-23,-3.8,2,0
1616,1470,"Evan Wilson, QB",USF,1,-24,-24.0,0,0
1620,1473,"Dane Evans, QB",TLSA,84,-27,-.3,15,1
1621,1473,"Korey Durkee, P",WASH,1,-27,-27.0,0,0
1622,1475,"Tyler Harris, QB",UCF,5,-28,-5.6,11,0
1624,1477,"Zack Oliver, QB",NW,8,-30,-3.8,1,1
1626,1479,"Dallas Davis, QB",USA,16,-31,-1.9,8,0
1627,1480,"Josh Williams, PK",SMU,2,-32,-16.0,0,0
1629,1481,"Kyle Shurmur, QB",VAN,14,-33,-2.4,15,0
1630,1482,"Everett Golson, QB",FSU,47,-35,-.7,17,0
1631,1482,"Greyson Lambert, QB",UGA,24,-35,-1.5,13,1
1632,1482,"Ryker Fyfe, QB",NEB,7,-35,-5.0,7,0
1633,1482,"Cade Apsay, QB",COLO,27,-35,-1.3,18,0
1636,1486,- Team,ARST,15,-36,-2.4,0,0
1637,1486,"Shuler Bentley, QB",ODU,45,-36,-.8,26,2
1638,1486,"- Team, ATH",BSU,14,-36,-2.6,0,0
1640,1491,"Chris Laviano, QB",RUTG,65,-38,-.6,14,0
1643,1494,"Maxwell Smith, QB",SDSU,32,-44,-1.4,27,2
1647,1498,"Brett Rypien, QB",BSU,38,-55,-1.4,11,1
1648,1499,"Kyle Bolin, QB",LOU,16,-59,-3.7,11,0
1649,1500,"Joe Licata, QB",BUFF,33,-60,-1.8,11,1
1651,1501,"Sean Maguire, QB",FSU,6,-62,-10.3,4,0
1652,1501,"Bo Schneider, QB",UCF,16,-62,-3.9,6,0
1653,1503,"Nick Mullens, QB",USM,37,-68,-1.8,17,3
1654,1504,"Billy Bahl, QB",M-OH,39,-70,-1.8,18,0
1655,1505,"- Team, ATH",ULM,8,-76,-9.5,0,0
1656,1506,"Nick Arbuckle, QB",GAST,55,-77,-1.4,25,6
1658,1508,"Ryan Willis, QB",KU,59,-79,-1.3,23,0
1659,1509,"Michael Brewer, QB",VT,37,-80,-2.2,16,1
1660,1510,"Christian Hackenberg, QB",PSU,65,-84,-1.3,22,2
1663,1512,"Brad Kaaya, QB",MIA,26,-86,-3.3,9,2
1664,1513,"Max Wittek, QB",HAW,38,-89,-2.3,20,1
1665,1514,"James Tabary, QB",ARST,18,-92,-5.1,3,0
1666,1515,"Tanner Mangum, QB",BYU,52,-99,-1.9,11,1
1667,1516,"Lee McNeill, QB",CHAR,33,-101,-3.1,20,1
1668,1517,"Brandon Doughty, QB",WKU,23,-107,-4.7,11,1
1669,1518,"Luke Falk, QB",WSU,78,-114,-1.5,14,3
1670,1519,"Cameron Coffman, QB",WYO,45,-118,-2.6,18,0
1673,1521,"Joel Stave, QB",WIS,31,-121,-3.9,11,1
1674,1522,"Cody Kessler, QB",USC,56,-132,-2.4,21,4
1675,1523,"Wes Lunt, QB",ILL,24,-153,-6.4,14,1
1676,1524,"Tanner Lee, QB",TULN,23,-162,-7.0,1,0
